,geometry_x,RCH_DID,MB_NM,RCH_LEN,유량(m3/day),추정유량(m3/day),구간체류시간(h),PEC_WS,rich_class
627,"LINESTRING (128.23429407300011 35.22308230300007, 128.235077541 35.22389466000004, 128.23585126900002 35.22508379000004, 128.23641186500004 35.22656873900007, 128.23761349300003 35.22867456200004, 128.23742675500012 35.22937716500007, 128.23702814500007 35.230344944000024, 128.23697817700008 35.23123724200008, 128.23707954100007 35.23233417300003, 128.23726036100004 35.23270061900007, 128.2373127290001 35.23295759200005)",2019050300,남강,1.182157,,22150768.100387365,0.7023290334476023,1.3769675703337461e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9280>
628,"LINESTRING (128.13066996300006 35.23349081600003, 128.13167615400005 35.23395020100003, 128.13437766700008 35.23512032700006, 128.13859084600006 35.236112149000064, 128.1414622740001 35.237163328000065, 128.14560503400003 35.237194601000056, 128.15023370900008 35.23724456300005, 128.1513624490001 35.23789298300005)",2019031100,남강,1.992245,,16965925.459433403,1.3205335837384005,1.74334806645584e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb92b0>
629,"LINESTRING (128.1513624490001 35.23789298300005, 128.15426253300006 35.23933129100004, 128.1563564590001 35.24085414600006, 128.15834422800003 35.241081577000045)",2019031700,남강,0.745935,,17257511.193174787,0.4944332744144941,1.7086768513816843e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb92e0>
630,"LINESTRING (128.2373127290001 35.23295759200005, 128.237283627 35.233686342000055, 128.2372508630001 35.234485206000045, 128.2368415960001 35.23544650900004, 128.23623816400004 35.236526783000045, 128.23503469600007 35.23893244300007, 128.23444261800012 35.240471753000065, 128.233226628 35.24209374600008, 128.2317418440001 35.24274096000005, 128.2270208100001 35.242773655000065, 128.22024282200005 35.242302951000056)",2019050500,남강,2.295471,,22233327.26456372,1.3637578838825988,1.3685755631719827e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9310>
631,"LINESTRING (128.21587547000001 35.26365188200003, 128.21654137300004 35.26423115100005, 128.2187206000001 35.26472490500004, 128.22249655500002 35.26306968800003, 128.2260314570001 35.26059646600004, 128.2277034220001 35.25776700800003, 128.2287979030001 35.25644340300005, 128.23066053900004 35.25490105600005, 128.233556184 35.25365287000005, 128.2366387730001 35.25343397700004, 128.23849431500003 35.253321293000056, 128.2445190730001 35.25304868300003, 128.24669314100004 35.25321385800004, 128.25778741200008 35.25558371900007, 128.26429294900004 35.25682859200003, 128.26605480800004 35.25620083000007, 128.27230966000002 35.25601818300004)",2019051100,남강,5.76654,,22575847.353164196,3.4259480462721426,1.333473894107088e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9340>
632,"LINESTRING (128.22024282200005 35.242302951000056, 128.2186435330001 35.242342466000025, 128.215609405 35.24387293800004, 128.2145984770001 35.24505496200004, 128.21300851700005 35.24764904700004, 128.21150763800006 35.25047660100006, 128.21125743200002 35.252869770000075, 128.21102599100004 35.256528400000036, 128.2115426480001 35.258609216000025, 128.21231578000004 35.26064058900005, 128.2141886180001 35.26167656000007, 128.21587547000001 35.26365188200003)",2019050700,남강,2.912505,,22291252.633845493,1.730342773050711,1.3567214911286748e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9370>
633,"LINESTRING (128.27230966000002 35.25601818300004, 128.27307662300007 35.25609428100006, 128.2736589960001 35.25642589900008, 128.27478981000002 35.257935994000036, 128.27601271100002 35.260760574000074, 128.27791968600002 35.26555175100003, 128.2783287090001 35.26814249600005, 128.28029070500008 35.272973394000076)",2019051300,남강,2.078254,,22720299.52041627,1.2347075076141436,1.3052334527510339e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb93a0>
634,"LINESTRING (128.28029070500008 35.272973394000076, 128.2808860130001 35.27406872900008, 128.28154705500003 35.27471794600007, 128.28302665400008 35.27560740600006, 128.2861969710001 35.277009744000054, 128.289110982 35.277708088000054, 128.29436328100007 35.27855163400005, 128.29833043700012 35.27965332500003)",2019051500,남강,1.866026,,22788322.409773782,1.1086211365902292,1.2946853411980067e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb93d0>
635,"LINESTRING (128.29833043700012 35.27965332500003, 128.29893503800008 35.279928099000074, 128.3004023520001 35.28060748900003, 128.30127323500005 35.28117855900007, 128.30152264600008 35.28174736900007, 128.30170033900004 35.28392515500008, 128.30104480700004 35.28517605400003, 128.29976336000004 35.28667741700008, 128.29860594800004 35.28791569900005)",2019051700,남강,1.154508,,22840884.951183416,0.6859025389584671,1.2856455137668775e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9400>
636,"LINESTRING (128.29860594800004 35.28791569900005, 128.29579637400002 35.29099264700005, 128.292681108 35.29463529100008, 128.29057565100004 35.29707179400003, 128.28902466400007 35.30022892900007, 128.28946415100006 35.30451332200005, 128.2905701080001 35.30754842600004, 128.29214653200006 35.30959412900006, 128.29466757500006 35.31170003300008, 128.29785265100008 35.31419721000003, 128.29804196500004 35.314890029000026, 128.29847921900011 35.31582495500004, 128.2991316030001 35.31662899500003, 128.2991504370001 35.31664351400008)",2019051900,남강,3.753985,22944786.20689655,22944786.20689655,2.02074405093366,1.2774892078665314e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9430>
