,RCH_DID,MB_NM,시설명,방류량,geometry,인구수,희석배율,C_local,PEC_local
53,2012100500,금호강,경산,36958.3,POINT (128.72560005191892 35.84848534446458),119664.0,28.53158201118721,0.004472714514751342,0.00015676363522350756
54,2012110700,금호강,안심,35820.2,POINT (128.68037173637234 35.86510359322375),219672.0,471.50585449019206,0.008471617660996359,1.7967152645763338e-05
55,1018050300,한강서울,판교수질복원센터,34607.1,POINT (127.10165121970736 37.39605926306576),99954.0,8.207775563900729,0.00398983209965381,0.0004861039472377641
56,1101100300,안성천,구갈,34055.0,POINT (127.1287686513599 37.26510396887059),122971.0,1.7931215044175912,0.004988172565853377,0.002781837456951108
57,2011011600,강정고령보,원평,33611.0,POINT (128.34422638914492 36.125174355315615),109189.0,7.156993722127966,0.0044876306347132145,0.0006270273258502903
58,2001020201,안동댐,태백,31603.6,POINT (129.03622502201168 37.08303961923116),43620.0,7.635735460629163,0.0019066402381492727,0.0002496996193726401
59,1019030300,한강고양,벽제,30829.4,POINT (126.83141714015875 37.65575943367569),100858.0,10.579240835378727,0.004519235036180025,0.00042717952133833245
60,2012070100,금호강,영천,29995.1,POINT (128.92896096949568 35.92367866187009),59595.0,611.9555582206281,0.0027446006339778887,4.484967244939017e-06
61,1019060600,한강고양,통진,29084.1,POINT (126.64093088422045 37.68123646779614),122110.0,28.1078279700009,0.005799829831031324,0.0002063421562570186
62,1101012100,안성천,안성,28908.4,POINT (127.20209803954181 36.98341964722479),98530.0,5.7215581266303905,0.004708299454845269,0.0008229051161659941
63,2005070100,영강,점촌,28901.8,POINT (128.21448118405632 36.57290312899382),55465.0,190.0475305451515,0.002651024707080029,1.3949272055656618e-05
64,2014060100,창녕합천보,현풍,27328.7,POINT (128.42255927326602 35.687855601049165),64309.0,6.688796186713093,0.0032506666266826556,0.00048598679582133433
65,3012070300,금강공주,공주,26028.1,POINT (127.09528233402222 36.44941152525842),52792.0,774.7935596711364,0.0028018526899071926,3.6162570725245155e-06
66,1016041900,경안천,광주,25846.8,POINT (127.28471656463603 37.41716835805095),185319.0,8.303123432367153,0.009904505901604339,0.0011928650684626333
67,2011020300,강정고령보,구미4단지,25134.8,POINT (128.44900014212732 36.13224295934186),53841.0,5.211914608604318,0.0029590842679406847,0.0005677537891844104
68,2021090502,밀양강,밀양,24903.0,POINT (128.77637517690465 35.44888878499154),60130.0,89.57158421293008,0.0033354864800491566,3.723822135511212e-05
69,1018010401,한강서울,하남,23579.0,POINT (127.21868543124539 37.54406265583931),118910.0,5.3764077737993565,0.006966467991703751,0.0012957476971246812
70,2015050200,합천댐,거창,23578.6,POINT (127.93414603590556 35.686832985177574),40958.0,235.78051355092262,0.0023996084142561256,1.0177297428516589e-05
71,1101060700,안성천,성환,23450.8,POINT (127.11912738602058 36.954823279963804),179643.0,4.048319148365461,0.010582110340297242,0.0026139516062042316
72,1016041900,경안천,곤지암,21787.4,POINT (127.29232112806744 37.39734544132692),36344.0,9.85015057931223,0.0023043421635840994,0.00023393979056764795
73,1022090100,한탄강,포천,21713.9,POINT (127.21878016761669 37.92717225716277),57952.0,121.07418697584036,0.0036868056518189712,3.0450798340315525e-05
74,3101080600,삽교천,예산,21688.7,POINT (126.8483320205546 36.74029623062687),36605.0,5.244292128753116,0.0023314523239752346,0.0004445694989400907
75,3013050601,논산천,논산,21440.7,POINT (127.05709421770838 36.1815583432113),66021.0,4.80501605062539,0.004253660137831835,0.0008852540955150826
76,1016020500,경안천,오포,21200.0,POINT (127.21900106429834 37.34592034620478),77426.0,5.832748408891682,0.005045109674020232,0.0008649626763138383
77,3011141302,미호천,조치원,21163.0,POINT (127.30052392649642 36.587443130336446),45095.0,9.555719811021866,0.0029435458752504837,0.00030804020350777827
78,1018030400,한강서울,별내,20994.9,POINT (127.12678087123768 37.64462156275916),47710.0,4.157119342754921,0.003139173037374076,0.0007551318060774622
79,2011040500,강정고령보,왜관,20980.9,POINT (128.39769797649453 35.95567879503421),34413.0,3132.873913212221,0.002265781727216927,7.232278699954954e-07
80,3302070101,동진강,김제,20627.6,POINT (126.85226133840459 35.81326393582018),40883.0,23.487247411878606,0.0027378755603761876,0.00011656860049898886
81,2012160200,금호강,지산,20129.3,POINT (128.61979505485257 35.82656488158653),85429.0,14.458577329947152,0.005862681480324898,0.00040548121343736155
82,2006010700,병성천,상주,20088.4,POINT (128.18711749881723 36.42127107893703),60356.0,172.85116307659277,0.0041504458470950365,2.401167439790912e-05
83,3011070702,미호천,증평,19662.5,POINT (127.56517065393174 36.78088924888328),37188.0,86.99455010621307,0.002612665052034095,3.0032514092483373e-05
